x,y
1539.677212,277.809452
980.545283,267.033666
1179.845411,543.693647
1517.849147,129.724864
1167.527258,1299.505292
811.264005,1245.609181
800.352764,1702.84877
108.070845,123.938302
1881.739917,1670.561231
57.439111,1723.58878
1782.613977,1585.895664
1795.431678,1373.915093
1734.539567,1981.046346
1910.377257,657.090067
219.85983,483.81448
1923.338756,580.966479
1303.196104,224.786281
1436.988458,537.526289
1747.401986,1755.04287
1316.170285,687.192506
647.467695,983.662893
1404.980324,1770.750857
1454.193557,1108.764377
889.004592,221.474774
331.155257,1661.646998
763.421406,431.301348
1611.317957,1452.661819
1845.526948,767.712203
549.033716,1827.040616
409.509443,1583.5942
1482.018799,318.842864
499.763533,1932.934893
346.406331,1682.494095
882.21927,451.210888
113.749695,1795.583831
1885.91774,884.919672
1721.685309,58.963946
973.01229,676.356642
142.574223,1474.397365
808.708934,814.603015
1222.285229,1057.143265
1929.332562,750.425616
1916.523542,811.190191
732.050706,1731.781303
14.114919,12.840324
1135.729777,796.721396
373.217552,701.729215
1702.544134,168.635191
1279.002738,902.57919
1449.950177,1705.840254
137.691511,1812.850668
926.00573,567.736063
358.352964,872.2167
432.741853,1834.603075
905.340451,1612.308252
617.040497,1453.087382
1683.98666,1696.546679
203.536182,308.084758
976.402252,610.436578
654.453533,242.374645
1800.00633,1108.372143
331.047129,918.112827
611.342178,1991.099451
1391.279406,1031.254228
307.298217,567.088071
309.603489,1772.410177
14.675081,8.226976
1333.450922,1257.152666
617.654356,1321.40065
1682.022698,1581.17596
822.91524,1040.478427
1206.744318,143.16831
769.763831,1873.693815
1148.11813,236.230373
1549.739577,773.337811
1194.362669,1218.06915
1240.312878,113.999809
978.916704,170.229566
1176.597508,1598.227356
1387.843352,198.972673
1546.491222,1447.710363
1311.855994,1424.752725
1027.620658,858.803897
1004.598398,651.009712
1784.215277,711.789956
328.311976,284.720477
1117.977868,1146.5017
1322.626762,269.191207
13.315613,6.257446
1760.075938,1514.491221
1532.155894,1190.406735
1469.689145,1101.911251
1761.57729,1061.340534
1467.638877,945.911571
1221.614003,734.750317
1463.02471,1599.742061
660.170957,1391.914278
1490.188033,1978.300347
13.553838,-4.418486
664.023566,777.762658
1744.990561,1633.572367
1750.095547,1521.840859
1266.399685,765.907979
1243.563162,1931.101288
1414.683493,1771.286085
1070.625362,911.638963
1577.362613,770.500355
454.461312,288.066229
1100.073151,1088.789399
1799.488686,635.431996
464.277246,1651.459362
1745.432049,1624.270953
1052.676086,518.124915
1172.860899,498.763579
55.280804,195.66127
989.208451,683.214576
1807.65626,945.122641
58.946815,914.939704
1065.850642,1259.557739
448.667658,102.660191
1505.659769,1978.617437
1595.44188,1306.654741
1260.097775,1410.144279
1244.565383,374.933001
1746.448359,1271.115867
1177.29105,1772.667856
676.819188,894.410586
209.323381,62.143759
490.787922,736.951531
1077.019911,453.901319
1612.619733,1096.233341
19.847371,-1.115385
-4.741727,11.78997
23.884991,4.734117
260.549917,1302.000339
977.980126,1210.595945
800.874362,1108.277551
280.905054,1348.228118
111.246446,1358.751086
1237.206095,266.709178
1180.000563,402.668592
1755.454938,1630.935549
317.680124,1893.828309
1606.520877,1038.061651
1190.996667,163.627217
847.712071,1559.874174
1000.495037,637.350926
194.713028,389.530491
1539.634817,406.413512
804.841677,1087.478514
1071.489577,1466.487902
1494.687369,1570.60474
1031.149277,409.885432
1433.016528,142.154842
1145.687322,625.423767
741.819541,1975.915274
1380.717657,1275.745962
359.185307,520.431012
1196.275834,1044.999466
1282.911026,1230.009664
1339.609873,991.404201
99.740524,718.186828
228.303176,1510.024024
318.333808,1077.664438
981.62991,1912.267123
1294.254414,1181.134753
310.428058,1531.978945
1306.982584,1343.938666
1844.063542,51.510592
1752.761553,1201.798273
780.984172,1061.716663
1592.000795,1766.212698
809.727326,1960.016968
91.58699,185.853967
1566.693361,1152.376745
1084.433989,732.051041
1440.236566,840.656711
1620.245176,1015.344585
1149.497638,1414.191573
397.511546,1553.2014
1907.621673,337.85938
758.685788,1394.735931
755.77738,1300.814103
574.870386,278.710104
592.50823,729.681134
1366.099063,1962.581342
1929.534664,1533.132815
117.954188,1632.956032
437.196257,1169.017014
1853.197418,1745.243656
525.39371,1888.376861
1536.922825,1791.968204
983.791351,94.187367
803.213051,1723.405346
1263.511383,1670.780388
181.962434,1261.77682
1676.767357,777.880309
703.620435,1288.211589
1836.511707,1938.725131
1326.097146,1576.617088
1843.427037,1543.328348
169.229163,154.471141
814.486564,1133.531647
375.69658,1849.653399
897.27587,1471.953988
101.483559,773.12043
519.085666,1174.671519
360.393278,1903.046906
1360.730415,602.21601
1974.966762,1122.679122
298.211585,1028.928404
266.016211,1733.146047
115.259712,1291.960007
1922.995146,1815.129792
1408.67981,369.850652
1057.078934,461.381243
16.901139,23.149022
1057.310921,1357.898386
1899.244525,1746.433328
903.348607,992.577088
1298.694111,1611.371463
1449.963515,1101.698976
745.587979,1649.113106
780.588847,141.14886
267.586746,1247.53104
799.231058,1204.652023
1699.735603,1749.102357
1662.618964,702.418672
539.096811,1348.356747
1619.32125,1372.614585
1325.134971,674.538293
955.158322,1517.796878
1752.27712,1662.959826
1012.89954,1277.106942
67.154377,1471.743589
1041.483033,454.574627
1626.679695,134.728599
672.815507,232.652346
1083.289839,1776.363677
1735.154166,127.177589
1697.9428,788.770015
1142.919704,1504.327347
730.75078,1792.059046
1589.178531,332.930714
1776.582329,215.010223
103.553547,811.971547
91.714084,1348.500386
778.259994,657.397265
1739.140529,820.949182
1538.164544,953.167814
382.226827,867.275543
672.141125,1573.276703
889.487247,1254.770474
1252.924284,1885.455035
658.4303,991.080826
581.043251,871.49509
544.635426,735.056489
1228.640707,1456.19772
1636.953825,513.082782
351.153069,1209.154469
1311.266965,756.290395
112.95394,1595.069456
1070.921389,345.43815
942.31165,1576.924257
653.285764,158.439888
1023.656344,953.435687
1612.361778,202.112189
859.759637,241.023726
836.591949,1390.784476
1525.916139,564.325328
406.451348,1423.050658
1964.032423,457.180681
1044.926304,1207.993065
1479.391666,1143.609173
1250.155847,107.953728
1966.788382,1828.1217
406.622396,280.403721
224.757309,705.676394
